Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
96,T,37.0001719,-86.371464,516.1,203.8,0.8,0.08,3.82,,,True,38,False,False
97,T,37.000159,-86.3714707,516.1,202.5,0.8,0.081,5.09,,,True,39,False,False
98,T,37.0001494,-86.3714788,516.1,214.0,0.5,0.082,4.22,,,True,40,False,False
99,T,37.0001355,-86.3714882,516.2,208.4,0.5,0.083,5.76,,,False,40,False,False
100,T,37.0001247,-86.3714949,516.2,206.4,-0.1,0.084,4.39,,,False,40,False,False
101,T,37.000114,-86.3715003,516.2,202.0,-0.1,0.085,4.2,,,False,40,False,False
102,T,37.0001012,-86.3715096,516.2,210.1,-0.1,0.086,5.39,,,False,40,False,False
103,T,37.0000873,-86.3715177,516.2,205.0,0.0,0.087,5.59,,,False,40,False,False
104,T,37.0000765,-86.3715244,516.2,206.4,0.0,0.088,4.39,,,False,40,False,False
105,T,37.0000637,-86.3715324,516.1,206.5,-0.3,0.089,5.21,,,False,40,False,False
106,T,37.0000508,-86.3715405,516.1,206.6,-0.6,0.09,5.26,,,False,40,False,False
107,T,37.0000391,-86.3715485,516.1,208.6,-0.6,0.091,4.86,,,False,40,False,False
108,T,37.0000262,-86.3715539,516.1,198.5,-0.3,0.092,4.95,,,False,40,False,False
109,T,37.0000144,-86.3715606,516.0,204.4,-0.4,0.093,4.72,,,False,40,False,False
110,T,36.9999984,-86.37157,516.0,205.1,-0.5,0.094,6.44,,,False,40,False,False
111,T,36.9999887,-86.3715767,516.0,208.9,-0.5,0.095,4.04,,,False,40,False,False
112,T,36.9999769,-86.3715821,516.0,200.1,-0.3,0.095,4.58,,,False,40,False,False
113,T,36.9999662,-86.3715888,516.0,206.6,-0.5,0.096,4.36,,,False,40,False,False
114,T,36.9999555,-86.3715955,515.9,206.6,-0.5,0.097,4.36,,,False,40,False,False
115,T,36.9999437,-86.3716049,515.9,212.5,-0.6,0.098,5.1,,,False,40,False,False
116,T,36.9999352,-86.3716102,515.9,206.5,-0.4,0.099,3.46,,,False,40,False,False
117,T,36.9999255,-86.3716156,515.9,204.0,-0.3,0.099,3.87,,,False,40,False,False
118,T,36.9999137,-86.3716236,515.9,208.4,-0.4,0.1,4.89,,,False,40,False,False
119,T,36.9999041,-86.3716317,515.8,214.0,-0.6,0.101,4.22,,,False,40,False,False
120,T,36.9998934,-86.3716384,515.8,206.6,-0.4,0.102,4.36,,,False,40,False,False
121,T,36.9998795,-86.3716478,515.8,208.4,-0.3,0.103,5.76,,,False,40,False,False
122,T,36.9998677,-86.3716558,515.8,208.4,-0.4,0.104,4.89,,,False,40,False,False
123,T,36.9998602,-86.3716598,515.8,203.1,-0.2,0.105,2.97,,,False,40,False,False
124,T,36.9998516,-86.3716666,515.8,212.3,-0.7,0.105,3.71,,,False,40,False,False
125,T,36.9998409,-86.3716746,515.7,210.8,-0.7,0.106,4.54,,,False,40,False,False
